Symbol,Date,Open,High,Low,Close,Volume
STB,2021-05-17,26.5,26.7,25.85,25.95,39752100.0
STB,2021-05-18,25.9,27.4,25.65,27.3,44745200.0
STB,2021-05-19,27.3,28.7,27.3,28.5,47834200.0
STB,2021-05-20,28.45,29.55,28.1,29.4,58599727.0
STB,2021-05-21,29.25,29.8,28.8,28.85,45954800.0
STB,2021-05-24,28.85,29.25,28.8,28.9,31595200.0
STB,2021-05-25,28.95,29.75,28.9,29.35,27023100.0
STB,2021-05-26,29.6,29.8,29.35,29.5,31559600.0
STB,2021-05-27,29.55,30.3,29.0,29.8,47101500.0
STB,2021-05-28,30.4,31.85,30.0,31.85,73839900.0
STB,2021-05-31,32.15,33.9,31.9,33.8,42228800.0
STB,2021-06-01,33.5,33.55,32.35,32.4,47113500.0
STB,2021-06-02,31.6,32.4,31.2,32.2,51657300.0
STB,2021-06-03,33.2,33.2,32.2,32.75,31250700.0
STB,2021-06-04,32.2,33.0,31.8,32.15,37481900.0
STB,2021-06-07,31.8,32.0,30.0,30.7,39030700.0
STB,2021-06-08,30.2,31.3,28.6,28.6,47697600.0
STB,2021-06-09,28.5,30.35,28.0,29.6,38519500.0
STB,2021-06-10,29.6,30.05,28.8,28.9,24476800.0
STB,2021-06-11,29.1,30.8,28.8,30.5,36442200.0
STB,2021-06-14,30.7,31.3,30.4,30.8,33515060.0
STB,2021-06-15,30.8,30.8,29.8,30.1,29859500.0
STB,2021-06-16,29.6,30.2,29.0,29.2,31046500.0
STB,2021-06-17,28.55,29.65,28.55,29.4,19701100.0
STB,2021-06-18,29.9,30.1,29.5,29.65,17191300.0
STB,2021-06-21,29.5,30.3,29.35,29.85,24102800.0
STB,2021-06-22,30.15,30.75,29.85,30.2,26035700.0
STB,2021-06-23,30.2,30.35,29.75,29.75,24112800.0
STB,2021-06-24,29.75,29.9,28.85,29.0,23582700.0
STB,2021-06-25,29.0,29.5,28.9,29.5,28058981.0
STB,2021-06-28,29.8,30.4,29.45,30.2,22568300.0
STB,2021-06-29,30.5,31.5,30.4,31.0,36437600.0
STB,2021-06-30,30.95,31.4,30.5,30.6,16695700.0
STB,2021-07-01,30.6,31.25,30.45,31.0,29657500.0
STB,2021-07-02,31.1,31.95,31.1,31.5,41478500.0
STB,2021-07-05,31.6,32.6,30.9,32.6,53687900.0
STB,2021-07-06,32.8,33.1,30.35,30.35,38676900.0
STB,2021-07-07,30.65,31.15,30.0,31.05,53640803.0
STB,2021-07-08,31.0,31.3,30.1,30.2,33971500.0
STB,2021-07-09,30.0,30.5,29.0,29.1,38413800.0
STB,2021-07-12,29.15,29.2,27.1,28.4,62668700.0
STB,2021-07-13,28.8,29.0,28.05,28.7,18521600.0
STB,2021-07-14,28.7,28.7,27.0,27.4,25268600.0
STB,2021-07-15,27.1,28.8,27.1,28.8,25368800.0
STB,2021-07-16,28.9,29.1,28.4,28.45,27310700.0
STB,2021-07-19,27.5,27.95,26.7,27.5,39727500.0
STB,2021-07-20,27.8,28.1,27.2,28.1,24084800.0
STB,2021-07-21,28.3,28.4,27.8,27.85,14219687.0
STB,2021-07-22,27.85,28.15,27.65,28.0,16617400.0
STB,2021-07-23,28.3,29.95,27.9,28.7,63984600.0
STB,2021-07-26,28.9,29.3,28.35,28.7,15127600.0
STB,2021-07-27,29.0,29.75,28.7,29.1,29764400.0
STB,2021-07-28,28.9,29.45,28.7,28.9,25640509.0
STB,2021-07-29,29.1,29.4,29.0,29.3,16102300.0
STB,2021-07-30,29.4,30.35,29.25,29.9,32248600.0
STB,2021-08-02,29.8,30.4,29.3,29.3,26509200.0
STB,2021-08-03,29.4,29.8,29.25,29.8,26539400.0
STB,2021-08-04,29.8,30.8,29.65,30.65,48481900.0
STB,2021-08-05,30.6,31.25,30.3,31.05,30721500.0
STB,2021-08-06,31.0,31.15,30.3,30.3,31021200.0
STB,2021-08-09,30.3,30.8,30.1,30.7,21015000.0
STB,2021-08-10,30.85,31.0,30.3,30.6,24370800.0
STB,2021-08-11,30.5,30.85,30.35,30.4,26155800.0
STB,2021-08-12,30.3,30.5,29.6,29.6,27966600.0
STB,2021-08-13,29.6,29.8,29.15,29.7,22964600.0
STB,2021-08-16,29.85,30.4,29.4,30.3,24395900.0
STB,2021-08-17,30.3,30.6,30.0,30.15,22055100.0
STB,2021-08-18,30.0,30.15,29.55,29.95,22891200.0
STB,2021-08-19,29.8,30.05,29.6,29.95,16698400.0
STB,2021-08-20,29.8,29.9,28.0,28.3,45021300.0
STB,2021-08-23,28.2,28.5,27.0,27.0,29889700.0
STB,2021-08-24,26.9,27.85,26.65,27.25,25860800.0
STB,2021-08-25,27.35,27.55,27.1,27.35,8189000.0
STB,2021-08-26,27.5,27.55,26.85,27.1,13311200.0
STB,2021-08-27,27.0,27.3,26.55,27.3,16719200.0
STB,2021-08-30,27.35,27.95,27.2,27.9,11993703.0
STB,2021-08-31,28.0,28.0,27.3,27.35,12092600.0
STB,2021-09-01,27.2,27.5,27.2,27.2,10287300.0
STB,2021-09-06,27.2,27.85,27.1,27.55,16262200.0
STB,2021-09-07,27.75,28.35,27.55,27.9,14279100.0
STB,2021-09-08,27.9,28.1,27.3,27.3,9730400.0
STB,2021-09-09,27.15,27.5,27.1,27.35,9342700.0
STB,2021-09-10,27.5,27.6,27.15,27.2,11199600.0
STB,2021-09-13,27.25,27.3,26.8,26.9,11098300.0
