Symbol,Date,Open,High,Low,Close,Volume
VJC,2021-05-17,118.0,118.2,114.0,114.0,485200.0
VJC,2021-05-18,114.3,114.8,112.1,113.0,390900.0
VJC,2021-05-19,113.0,113.2,109.6,110.0,362700.0
VJC,2021-05-20,109.4,111.0,108.4,111.0,475700.0
VJC,2021-05-21,110.7,112.7,110.5,112.7,329600.0
VJC,2021-05-24,112.7,113.8,112.3,113.5,523500.0
VJC,2021-05-25,113.5,113.5,112.0,113.3,423000.0
VJC,2021-05-26,113.0,113.4,112.2,113.0,473000.0
VJC,2021-05-27,113.0,113.0,110.0,113.0,516000.0
VJC,2021-05-28,113.0,113.0,110.5,112.0,501900.0
VJC,2021-05-31,111.8,111.8,107.0,110.0,512700.0
VJC,2021-06-01,109.9,109.9,106.0,106.2,283700.0
VJC,2021-06-02,106.2,107.2,106.0,106.6,518700.0
VJC,2021-06-03,106.6,107.2,105.8,106.9,589000.0
VJC,2021-06-04,106.2,107.4,106.2,107.4,634100.0
VJC,2021-06-07,107.5,111.8,107.5,111.8,684500.0
VJC,2021-06-08,113.0,117.5,112.3,117.2,674400.0
VJC,2021-06-09,117.2,117.4,113.3,115.3,642400.0
VJC,2021-06-10,114.6,114.6,111.5,113.8,637800.0
VJC,2021-06-11,113.9,115.5,112.8,115.5,801200.0
VJC,2021-06-14,115.5,115.8,115.0,115.7,642700.0
VJC,2021-06-15,115.7,117.0,115.6,117.0,667600.0
VJC,2021-06-16,115.8,117.3,115.8,116.5,532500.0
VJC,2021-06-17,116.0,116.5,115.0,116.5,588400.0
VJC,2021-06-18,116.1,116.5,115.4,116.0,417700.0
VJC,2021-06-21,116.0,116.0,113.8,114.0,669000.0
VJC,2021-06-22,114.4,115.4,114.0,115.0,528900.0
VJC,2021-06-23,115.1,115.3,114.4,115.1,588000.0
VJC,2021-06-24,115.9,115.9,115.0,115.5,634400.0
VJC,2021-06-25,115.5,116.0,115.0,115.9,470100.0
VJC,2021-06-28,116.0,116.1,114.6,115.5,579200.0
VJC,2021-06-29,115.7,120.0,115.3,120.0,766900.0
VJC,2021-06-30,120.0,121.7,119.8,121.5,595200.0
VJC,2021-07-01,121.5,121.5,119.6,120.7,534300.0
VJC,2021-07-02,121.0,121.1,119.8,120.6,606800.0
VJC,2021-07-05,120.0,121.0,117.8,118.3,480300.0
VJC,2021-07-06,118.2,119.9,117.8,119.3,618400.0
VJC,2021-07-07,119.3,121.8,118.7,121.8,839800.0
VJC,2021-07-08,120.9,121.0,118.3,120.3,494800.0
VJC,2021-07-09,120.2,120.2,117.3,118.9,636700.0
VJC,2021-07-12,118.9,121.5,114.4,120.0,1009700.0
VJC,2021-07-13,120.0,120.0,117.8,119.9,544200.0
VJC,2021-07-14,119.9,120.5,111.6,117.0,1100100.0
VJC,2021-07-15,116.9,116.9,109.2,114.8,1035600.0
VJC,2021-07-16,114.8,115.4,113.5,115.4,667200.0
VJC,2021-07-19,114.7,114.7,111.0,114.0,575900.0
VJC,2021-07-20,113.6,114.5,110.0,114.5,515500.0
VJC,2021-07-21,114.0,114.5,112.3,114.0,514000.0
VJC,2021-07-22,113.9,114.2,112.8,114.0,544600.0
VJC,2021-07-23,113.9,113.9,110.8,113.4,554400.0
VJC,2021-07-26,113.0,114.0,111.5,114.0,618700.0
VJC,2021-07-27,114.0,115.5,113.8,114.9,622500.0
VJC,2021-07-28,114.5,114.5,113.3,114.4,520600.0
VJC,2021-07-29,114.4,114.4,112.3,114.4,499600.0
VJC,2021-07-30,114.5,114.5,112.4,113.0,531100.0
VJC,2021-08-02,113.0,115.9,113.0,115.5,503200.0
VJC,2021-08-03,115.3,116.3,114.4,116.0,573800.0
VJC,2021-08-04,116.0,116.2,115.0,116.2,501500.0
VJC,2021-08-05,116.4,116.5,114.5,116.5,370000.0
VJC,2021-08-06,116.8,117.5,116.0,117.4,474000.0
VJC,2021-08-09,116.8,119.7,116.0,119.5,612100.0
VJC,2021-08-10,119.5,120.0,117.5,118.7,496900.0
VJC,2021-08-11,118.8,118.9,118.0,118.7,514200.0
VJC,2021-08-12,118.7,119.0,116.9,118.7,479400.0
VJC,2021-08-13,118.7,118.7,116.5,118.0,535200.0
VJC,2021-08-16,118.1,118.1,116.3,117.3,479300.0
VJC,2021-08-17,117.4,117.4,116.8,117.3,515600.0
VJC,2021-08-18,117.3,118.2,117.1,118.0,847700.0
VJC,2021-08-19,118.0,120.0,117.7,120.0,2735400.0
VJC,2021-08-20,119.0,120.0,117.5,119.8,2843900.0
VJC,2021-08-23,119.5,120.3,118.2,120.3,1568100.0
VJC,2021-08-24,120.4,122.8,119.8,122.8,1511400.0
VJC,2021-08-25,123.5,127.0,123.0,127.0,1411700.0
VJC,2021-08-26,125.8,126.9,124.3,125.8,1114900.0
VJC,2021-08-27,126.1,126.8,124.8,126.8,3311900.0
VJC,2021-08-30,126.5,127.0,124.0,126.9,1279754.0
VJC,2021-08-31,126.8,126.8,125.0,126.5,1053100.0
VJC,2021-09-01,125.5,126.3,124.6,125.5,864900.0
VJC,2021-09-06,124.7,126.0,124.7,125.7,1004300.0
VJC,2021-09-07,125.5,125.5,123.8,124.6,821500.0
VJC,2021-09-08,124.6,124.6,123.0,124.6,813400.0
VJC,2021-09-09,124.6,129.0,124.0,129.0,1226800.0
VJC,2021-09-10,129.5,130.0,129.2,129.8,921800.0
VJC,2021-09-13,129.8,129.8,128.0,128.0,1019600.0
VJC,2021-09-14,127.4,127.8,125.0,125.8,886300.0
VJC,2021-09-15,125.3,126.4,125.3,126.0,688100.0
VJC,2021-09-16,126.0,126.2,125.1,126.0,713100.0
VJC,2021-09-17,126.0,126.1,124.0,124.9,1237700.0
VJC,2021-09-20,125.0,125.9,123.5,124.2,704400.0
VJC,2021-09-21,124.2,124.2,122.0,123.5,631600.0
VJC,2021-09-22,123.5,123.7,121.5,123.3,701200.0
VJC,2021-09-23,123.3,124.0,122.0,123.7,697200.0
VJC,2021-09-24,123.6,125.2,123.0,125.0,1043200.0
VJC,2021-09-27,125.1,129.7,125.0,129.0,1228000.0
VJC,2021-09-28,128.8,129.3,128.0,129.0,842800.0
VJC,2021-09-29,129.0,129.1,127.0,128.5,855900.0
VJC,2021-09-30,128.0,128.8,126.9,127.9,761000.0
VJC,2021-10-01,127.5,129.0,125.5,128.8,1008602.0
VJC,2021-10-04,128.8,132.0,128.5,131.8,1035800.0
VJC,2021-10-05,131.4,131.7,129.2,130.8,813900.0
VJC,2021-10-06,130.8,130.8,128.0,129.4,740600.0
VJC,2021-10-07,129.4,130.0,127.3,128.8,745200.0
VJC,2021-10-08,128.8,129.0,127.1,128.9,724900.0
VJC,2021-10-11,129.7,132.5,129.0,132.5,1098600.0
VJC,2021-10-12,132.5,132.8,131.8,132.5,922800.0
VJC,2021-10-13,132.8,134.1,132.5,133.9,815200.0
VJC,2021-10-14,133.3,134.4,132.5,134.4,817100.0
VJC,2021-10-15,134.4,134.5,130.9,131.7,982000.0
VJC,2021-10-18,131.0,131.6,129.8,131.2,844300.0
VJC,2021-10-19,131.0,135.2,130.0,135.2,1077000.0
VJC,2021-10-20,135.2,136.5,133.3,135.9,938400.0
VJC,2021-10-21,135.9,135.9,131.8,131.8,864500.0
VJC,2021-10-22,131.9,132.8,131.6,131.8,788400.0
VJC,2021-10-25,131.8,133.5,131.3,131.8,4083200.0
VJC,2021-10-26,131.8,132.6,130.7,132.5,876300.0
VJC,2021-10-27,132.5,135.0,132.3,134.0,919300.0
VJC,2021-10-28,134.0,134.4,132.8,133.5,887800.0
VJC,2021-10-29,133.0,134.0,132.0,132.0,763800.0
VJC,2021-11-01,131.9,131.9,129.9,130.0,991500.0
VJC,2021-11-02,130.0,132.0,130.0,132.0,919800.0
VJC,2021-11-03,131.8,132.0,128.0,129.8,728500.0
VJC,2021-11-04,129.3,129.8,127.4,129.6,681700.0
VJC,2021-11-05,129.6,130.3,129.2,130.0,869300.0
VJC,2021-11-08,129.8,132.0,129.6,131.8,1047900.0
VJC,2021-11-09,131.9,131.9,129.3,131.0,794600.0
VJC,2021-11-10,131.0,131.0,128.8,129.7,1166900.0
VJC,2021-11-11,129.2,129.4,127.3,128.6,823500.0
VJC,2021-11-12,128.2,128.9,127.5,128.6,751600.0
VJC,2021-11-15,128.1,128.6,126.0,127.0,803300.0
VJC,2021-11-16,126.5,127.9,125.5,127.9,798400.0
VJC,2021-11-17,127.5,128.0,127.0,127.9,746000.0
VJC,2021-11-18,127.9,128.0,125.6,126.5,907700.0
VJC,2021-11-19,126.5,127.9,126.2,127.8,958800.0
VJC,2021-11-22,128.2,128.4,126.0,128.0,795500.0
VJC,2021-11-23,127.8,132.1,127.5,132.0,1315200.0
VJC,2021-11-24,132.4,132.4,130.8,132.2,1180200.0
VJC,2021-11-25,132.2,132.8,130.9,132.0,1018500.0
VJC,2021-11-26,131.8,131.8,128.1,129.5,911400.0
VJC,2021-11-29,128.9,128.9,124.5,125.0,873500.0
VJC,2021-11-30,123.0,123.7,121.6,122.5,669000.0
VJC,2021-12-01,121.6,122.0,116.8,120.0,819000.0
VJC,2021-12-02,120.0,120.9,119.7,120.4,814300.0
VJC,2021-12-03,120.4,120.8,118.3,120.4,805100.0
VJC,2021-12-06,119.8,120.5,118.0,120.5,775800.0
VJC,2021-12-07,120.0,123.0,118.5,123.0,921000.0
VJC,2021-12-08,122.8,123.0,120.1,121.4,732800.0
VJC,2021-12-09,120.9,123.5,119.5,123.5,887700.0
VJC,2021-12-10,123.6,125.0,122.5,124.5,677000.0
VJC,2021-12-13,124.5,126.0,124.0,125.8,907500.0
VJC,2021-12-14,126.0,126.0,123.1,124.0,842800.0
VJC,2021-12-15,123.9,124.3,122.9,124.0,826000.0
VJC,2021-12-16,123.1,124.0,121.1,122.8,771600.0
VJC,2021-12-17,122.9,123.6,121.4,122.5,792300.0
VJC,2021-12-20,122.5,122.5,120.0,122.1,754200.0
VJC,2021-12-21,121.9,122.5,121.5,122.5,680800.0
VJC,2021-12-22,122.5,123.0,121.0,122.7,746600.0
VJC,2021-12-23,122.7,123.9,120.7,123.9,736700.0
VJC,2021-12-24,123.9,124.5,122.8,124.0,776800.0
VJC,2021-12-27,124.0,125.0,123.0,125.0,766700.0
VJC,2021-12-28,125.7,125.9,122.7,125.2,816900.0
VJC,2021-12-29,125.2,125.4,123.4,125.2,863100.0
VJC,2021-12-30,124.6,126.0,124.0,126.0,929800.0
VJC,2021-12-31,126.0,128.3,125.8,128.3,940900.0
VJC,2022-01-04,128.3,128.3,126.0,126.0,689600.0
VJC,2022-01-05,125.8,125.9,123.0,123.0,618100.0
VJC,2022-01-06,123.0,124.4,122.7,123.8,673300.0
VJC,2022-01-07,123.8,124.1,121.8,123.8,642900.0
VJC,2022-01-10,123.9,123.9,122.5,123.8,682900.0
VJC,2022-01-11,123.5,123.8,122.0,123.8,727600.0
VJC,2022-01-12,123.0,123.2,120.8,123.2,624600.0
VJC,2022-01-13,123.0,123.0,120.0,122.0,754800.0
VJC,2022-01-14,121.9,122.3,121.0,122.0,631600.0
VJC,2022-01-17,121.5,122.0,120.0,120.5,644300.0
VJC,2022-01-18,120.5,124.5,120.0,124.5,842300.0
VJC,2022-01-19,124.0,126.3,122.0,126.3,1015700.0
VJC,2022-01-20,126.0,126.3,123.6,123.6,901800.0
VJC,2022-01-21,123.6,123.7,121.0,122.0,515100.0
VJC,2022-01-24,121.8,122.0,117.3,120.5,605600.0
VJC,2022-01-25,120.5,121.3,118.5,121.3,576600.0
VJC,2022-01-26,121.3,121.3,119.0,121.1,666100.0
VJC,2022-01-27,121.0,121.8,119.1,121.1,714600.0
VJC,2022-01-28,121.5,122.7,121.1,121.9,574300.0
VJC,2022-02-07,122.8,130.4,122.8,130.4,1056700.0
VJC,2022-02-08,130.7,132.7,130.1,131.5,829100.0
VJC,2022-02-09,130.8,135.0,129.8,135.0,1157100.0
VJC,2022-02-10,134.8,134.8,132.3,133.0,1069200.0
VJC,2022-02-11,132.8,132.9,129.8,132.8,872700.0
VJC,2022-02-14,132.0,140.0,132.0,140.0,1282800.0
VJC,2022-02-15,138.9,140.0,137.0,139.2,908700.0
