Symbol,Date,Open,High,Low,Close,Volume
VRE,2021-05-17,30.7,31.7,30.7,30.7,7095900.0
VRE,2021-05-18,30.8,31.1,30.0,30.0,6236900.0
VRE,2021-05-19,30.0,30.4,29.0,29.35,12261500.0
VRE,2021-05-20,29.5,29.55,28.8,29.5,7526000.0
VRE,2021-05-21,29.5,30.5,29.0,30.35,7879600.0
VRE,2021-05-24,30.45,31.15,30.4,30.85,6061400.0
VRE,2021-05-25,30.95,31.45,30.6,31.2,7840900.0
VRE,2021-05-26,31.0,31.45,30.7,31.25,5261200.0
VRE,2021-05-27,31.2,31.25,30.45,30.75,5015200.0
VRE,2021-05-28,30.7,30.7,30.0,30.55,6547400.0
VRE,2021-05-31,30.0,30.1,29.3,29.4,8120500.0
VRE,2021-06-01,29.2,30.9,29.1,30.7,6072609.0
VRE,2021-06-02,30.8,30.8,30.0,30.1,4743800.0
VRE,2021-06-03,30.1,30.7,29.7,30.5,8184300.0
VRE,2021-06-04,30.5,32.5,30.4,32.2,14241700.0
VRE,2021-06-07,32.6,33.7,32.6,33.35,9584700.0
VRE,2021-06-08,33.0,33.5,31.65,31.65,8214700.0
VRE,2021-06-09,31.6,32.0,30.9,31.7,7480400.0
VRE,2021-06-10,31.5,31.9,30.8,30.8,5139200.0
VRE,2021-06-11,31.1,31.8,31.0,31.5,4273200.0
VRE,2021-06-14,31.6,32.5,31.5,31.95,6437730.0
VRE,2021-06-15,31.95,32.9,31.95,32.85,5436900.0
VRE,2021-06-16,32.85,33.4,32.5,32.8,5055400.0
VRE,2021-06-17,32.5,33.15,32.1,32.85,6689300.0
VRE,2021-06-18,33.25,33.25,32.05,32.5,6350100.0
VRE,2021-06-21,32.05,32.4,31.7,31.8,4224500.0
VRE,2021-06-22,32.0,32.3,31.5,31.5,3411300.0
VRE,2021-06-23,31.45,32.25,31.4,31.5,3755900.0
VRE,2021-06-24,31.5,32.0,31.45,32.0,3162849.0
VRE,2021-06-25,32.1,32.2,31.6,31.6,3583400.0
VRE,2021-06-28,31.95,31.95,31.5,31.8,2876870.0
VRE,2021-06-29,31.95,31.95,31.6,31.7,2787000.0
VRE,2021-06-30,31.85,32.8,31.75,31.75,6521500.0
VRE,2021-07-01,32.0,32.2,31.65,31.8,3093100.0
VRE,2021-07-02,31.85,31.9,31.7,31.7,2781500.0
VRE,2021-07-05,31.7,31.7,29.5,29.5,6862800.0
VRE,2021-07-06,30.4,30.4,29.5,29.5,6092700.0
VRE,2021-07-07,29.5,30.9,29.15,30.9,5457900.0
VRE,2021-07-08,30.3,30.5,29.4,29.9,3623700.0
VRE,2021-07-09,29.45,29.55,28.0,28.0,5021600.0
VRE,2021-07-12,28.0,28.7,26.1,27.0,6582100.0
VRE,2021-07-13,27.1,27.85,27.1,27.85,2816200.0
VRE,2021-07-14,27.85,28.85,27.85,28.25,4354900.0
VRE,2021-07-15,28.1,28.25,27.65,28.0,3686300.0
VRE,2021-07-16,28.15,28.3,27.7,27.7,2843200.0
VRE,2021-07-19,27.0,27.4,25.85,26.8,5381900.0
VRE,2021-07-20,26.2,26.9,25.1,26.7,6793100.0
VRE,2021-07-21,26.6,27.75,26.0,27.4,5563500.0
VRE,2021-07-22,27.0,28.25,26.75,28.2,4408400.0
VRE,2021-07-23,27.8,28.0,27.0,27.0,4945800.0
VRE,2021-07-26,26.5,27.2,26.4,26.75,3302900.0
VRE,2021-07-27,27.5,27.95,27.3,27.65,6060400.0
VRE,2021-07-28,27.6,27.6,27.15,27.2,2228600.0
VRE,2021-07-29,27.3,27.9,27.1,27.35,4172300.0
VRE,2021-07-30,27.5,27.7,27.3,27.65,5044600.0
VRE,2021-08-02,27.4,27.8,27.3,27.5,3210100.0
VRE,2021-08-03,27.4,28.45,27.35,28.3,8920108.0
VRE,2021-08-04,28.4,28.4,27.9,27.9,4421807.0
VRE,2021-08-05,27.9,28.05,27.75,27.95,4789900.0
VRE,2021-08-06,28.0,28.45,27.75,27.95,6698200.0
VRE,2021-08-09,28.0,28.75,27.95,28.6,6773500.0
VRE,2021-08-10,28.7,29.0,28.25,28.35,4428600.0
VRE,2021-08-11,28.4,28.5,28.0,28.0,5805700.0
VRE,2021-08-12,27.95,28.4,27.9,28.0,5302100.0
VRE,2021-08-13,28.0,28.25,27.8,28.0,5374700.0
VRE,2021-08-16,28.1,28.9,28.1,28.5,5965500.0
VRE,2021-08-17,28.5,28.75,28.0,28.05,3981200.0
VRE,2021-08-18,28.0,28.15,27.8,27.8,5080800.0
VRE,2021-08-19,27.8,28.1,27.55,27.95,3943600.0
VRE,2021-08-20,27.9,27.9,26.7,27.05,6810800.0
VRE,2021-08-23,26.7,26.85,26.05,26.05,5284200.0
VRE,2021-08-24,25.95,26.35,25.9,26.15,4238300.0
VRE,2021-08-25,26.15,26.6,26.05,26.3,2565752.0
VRE,2021-08-26,26.6,26.85,26.35,26.45,2511500.0
VRE,2021-08-27,26.45,26.8,26.3,26.8,2874100.0
VRE,2021-08-30,26.9,27.25,26.7,27.2,2958887.0
VRE,2021-08-31,27.2,27.3,26.85,27.3,2747900.0
VRE,2021-09-01,27.1,27.9,27.0,27.9,4069500.0
VRE,2021-09-06,28.0,28.2,28.0,28.1,2869700.0
VRE,2021-09-07,28.0,28.1,27.2,27.2,3398200.0
VRE,2021-09-08,27.45,27.45,27.05,27.1,2289400.0
VRE,2021-09-09,27.1,27.95,27.05,27.45,3537300.0
VRE,2021-09-10,27.6,28.35,27.6,28.0,5818900.0
VRE,2021-09-13,28.1,28.3,27.85,27.9,4681800.0
VRE,2021-09-14,28.5,28.8,28.2,28.3,7070600.0
VRE,2021-09-15,28.0,28.65,28.0,28.55,4857400.0
VRE,2021-09-16,28.8,30.3,28.7,30.0,14831000.0
VRE,2021-09-17,30.2,30.45,29.2,29.2,11870000.0
VRE,2021-09-20,29.6,30.15,29.2,29.3,6019900.0
VRE,2021-09-21,28.5,29.15,27.35,28.4,8415800.0
VRE,2021-09-22,28.4,28.8,28.0,28.45,4080100.0
VRE,2021-09-23,28.6,28.9,28.3,28.9,3152500.0
VRE,2021-09-24,28.9,28.95,28.25,28.5,3026000.0
VRE,2021-09-27,28.5,28.75,28.1,28.25,4557800.0
VRE,2021-09-28,28.2,28.6,27.9,28.5,3401100.0
VRE,2021-09-29,28.5,28.55,28.0,28.3,2420400.0
VRE,2021-09-30,28.35,29.1,28.35,29.1,7211400.0
VRE,2021-10-01,29.1,29.1,28.2,28.2,7581511.0
VRE,2021-10-04,28.25,28.6,28.05,28.25,3503500.0
VRE,2021-10-05,28.25,28.6,28.25,28.45,3400273.0
VRE,2021-10-06,28.55,29.4,28.5,29.4,6374000.0
VRE,2021-10-07,29.4,29.55,29.15,29.3,4781600.0
VRE,2021-10-08,29.35,29.45,29.15,29.15,3211900.0
VRE,2021-10-11,29.3,30.5,29.3,30.45,9749300.0
VRE,2021-10-12,30.6,31.0,30.4,30.8,8340200.0
VRE,2021-10-13,30.8,30.9,30.35,30.4,4774400.0
VRE,2021-10-14,30.3,30.9,30.2,30.7,10011200.0
VRE,2021-10-15,30.7,30.85,30.4,30.5,2688000.0
VRE,2021-10-18,30.7,31.2,30.45,30.8,7053000.0
VRE,2021-10-19,30.8,30.8,30.3,30.3,3896000.0
VRE,2021-10-20,30.3,31.1,30.2,30.95,6908600.0
VRE,2021-10-21,30.85,31.05,30.6,30.6,5049000.0
VRE,2021-10-22,30.6,31.0,30.55,30.65,6422800.0
VRE,2021-10-25,30.75,30.75,30.4,30.4,4937100.0
VRE,2021-10-26,30.3,30.6,29.4,30.6,8370500.0
VRE,2021-10-27,30.6,31.2,30.5,31.2,10352500.0
VRE,2021-10-28,31.5,31.5,30.8,31.0,7455600.0
VRE,2021-10-29,31.0,31.2,30.7,31.2,10513500.0
VRE,2021-11-01,31.4,31.4,30.9,31.15,10261800.0
VRE,2021-11-02,31.2,31.2,30.7,30.85,8209600.0
VRE,2021-11-03,31.05,32.5,30.8,31.7,13730900.0
VRE,2021-11-04,31.75,31.95,31.2,31.55,7649300.0
VRE,2021-11-05,31.9,31.9,31.05,31.2,5909000.0
VRE,2021-11-08,31.0,31.2,30.75,30.85,8932700.0
VRE,2021-11-09,30.8,30.85,30.35,30.4,9634000.0
VRE,2021-11-10,30.4,31.05,30.4,30.9,7357000.0
VRE,2021-11-11,30.95,31.0,30.3,30.3,7440400.0
VRE,2021-11-12,30.4,30.4,30.0,30.1,6538000.0
VRE,2021-11-15,30.3,30.55,30.1,30.2,7837800.0
VRE,2021-11-16,30.3,30.6,30.0,30.05,7323300.0
VRE,2021-11-17,30.1,30.5,30.05,30.45,6727900.0
VRE,2021-11-18,30.45,31.2,30.35,31.1,12995600.0
VRE,2021-11-19,31.1,31.4,30.0,30.5,10339200.0
VRE,2021-11-22,30.5,30.6,29.9,29.9,6010000.0
VRE,2021-11-23,29.65,30.5,29.35,30.15,7276000.0
VRE,2021-11-24,30.2,31.4,30.1,31.1,10222300.0
VRE,2021-11-25,31.5,31.7,30.8,30.85,12091400.0
VRE,2021-11-26,30.8,31.4,30.3,30.4,12697200.0
VRE,2021-11-29,29.8,30.7,29.8,30.15,9548000.0
VRE,2021-11-30,30.35,30.4,29.6,29.8,9891400.0
VRE,2021-12-01,29.85,30.4,29.6,29.7,7503300.0
VRE,2021-12-02,29.7,29.9,29.65,29.65,3984100.0
VRE,2021-12-03,29.7,29.9,28.1,28.1,10439600.0
VRE,2021-12-06,28.1,28.65,27.9,28.0,8968000.0
VRE,2021-12-07,28.15,29.95,28.15,29.95,9465800.0
VRE,2021-12-08,29.95,30.6,29.9,30.1,9401000.0
VRE,2021-12-09,30.0,30.5,29.7,30.45,9928000.0
VRE,2021-12-10,30.2,30.55,30.1,30.35,7030900.0
VRE,2021-12-13,30.4,30.55,30.2,30.45,8112300.0
VRE,2021-12-14,30.35,30.45,30.1,30.2,5717400.0
VRE,2021-12-15,30.25,30.4,30.05,30.4,4387300.0
VRE,2021-12-16,30.5,30.55,30.1,30.1,4704100.0
VRE,2021-12-17,30.15,31.55,30.1,30.8,14852000.0
VRE,2021-12-20,30.8,31.4,30.8,31.05,8068900.0
VRE,2021-12-21,31.05,31.85,30.8,31.4,10927100.0
VRE,2021-12-22,31.5,31.9,31.0,31.5,8812500.0
VRE,2021-12-23,31.75,31.8,30.9,31.0,8837500.0
VRE,2021-12-24,31.0,31.5,30.8,31.25,7893100.0
VRE,2021-12-27,31.5,31.5,30.9,31.3,5374000.0
VRE,2021-12-28,31.3,31.35,30.65,30.8,5867900.0
VRE,2021-12-29,30.8,31.45,30.45,30.55,5220000.0
VRE,2021-12-30,30.5,31.15,30.4,30.5,4192200.0
VRE,2021-12-31,30.55,31.05,30.1,30.1,6304500.0
VRE,2022-01-04,30.3,31.5,30.3,31.15,8227900.0
VRE,2022-01-05,31.25,33.3,31.25,33.3,10920700.0
VRE,2022-01-06,34.5,35.6,34.1,35.6,25025100.0
VRE,2022-01-07,35.95,37.0,34.75,34.75,16447000.0
VRE,2022-01-10,34.65,36.5,34.65,35.0,11058000.0
VRE,2022-01-11,34.8,35.6,33.95,34.2,13684500.0
VRE,2022-01-12,33.95,36.05,32.2,36.0,17913300.0
VRE,2022-01-13,36.1,36.25,33.8,33.8,10700600.0
VRE,2022-01-14,33.0,34.65,33.0,34.4,5676600.0
VRE,2022-01-17,34.2,34.7,32.0,32.0,10933900.0
VRE,2022-01-18,31.6,33.2,31.5,32.4,9207200.0
VRE,2022-01-19,32.6,33.3,32.5,33.25,4998000.0
VRE,2022-01-20,32.9,34.3,32.7,33.6,6649000.0
VRE,2022-01-21,33.65,34.0,33.1,33.1,4567900.0
VRE,2022-01-24,33.1,33.1,31.0,31.0,6704400.0
VRE,2022-01-25,31.85,33.15,31.0,33.15,6233100.0
VRE,2022-01-26,33.6,35.25,33.15,33.9,8966300.0
VRE,2022-01-27,33.8,34.95,33.6,34.2,6133600.0
VRE,2022-01-28,34.1,35.8,34.1,34.95,9856200.0
VRE,2022-02-07,35.8,36.85,35.1,35.5,12205700.0
VRE,2022-02-08,35.5,35.95,35.0,35.5,5580400.0
VRE,2022-02-09,35.5,35.9,35.4,35.9,5340100.0
VRE,2022-02-10,36.0,36.7,35.3,36.0,11025800.0
VRE,2022-02-11,35.95,35.95,34.6,34.6,7741700.0
VRE,2022-02-14,33.6,34.25,33.0,33.0,9234200.0
VRE,2022-02-15,33.0,34.0,32.7,34.0,8107200.0
VRE,2022-02-16,34.2,34.45,33.75,34.3,4748300.0
VRE,2022-02-17,34.3,34.75,34.0,34.45,3864700.0
VRE,2022-02-18,34.0,34.35,33.5,33.6,6182000.0
VRE,2022-02-21,33.55,34.2,33.45,34.1,5509700.0
VRE,2022-02-22,33.9,34.8,33.5,34.5,7645200.0
VRE,2022-02-23,34.95,35.45,34.6,34.9,6769800.0
VRE,2022-02-24,34.65,34.9,33.15,34.0,12182800.0
VRE,2022-02-25,34.4,34.5,34.0,34.0,4080500.0
VRE,2022-02-28,34.0,34.2,33.5,33.5,5203100.0
VRE,2022-03-01,33.5,33.9,33.3,33.5,4021300.0
VRE,2022-03-02,33.4,33.5,32.6,32.8,7593900.0
VRE,2022-03-03,33.0,33.1,32.5,32.7,6796000.0
VRE,2022-03-04,32.65,34.0,32.35,33.75,12248000.0
VRE,2022-03-07,33.3,33.3,32.8,32.9,10892800.0
VRE,2022-03-08,32.75,33.0,32.5,32.5,4965000.0
VRE,2022-03-09,32.5,32.6,31.6,31.6,6560500.0
VRE,2022-03-10,32.1,32.6,32.0,32.0,14045300.0
VRE,2022-03-11,31.7,32.5,31.5,31.85,3607800.0
VRE,2022-03-14,31.65,32.45,31.0,32.0,5694100.0
VRE,2022-03-15,32.0,32.25,31.65,31.75,3266700.0
VRE,2022-03-16,32.0,32.15,31.75,31.75,3471300.0
VRE,2022-03-17,32.0,32.25,31.95,32.25,2487300.0
VRE,2022-03-18,32.45,33.35,32.15,33.0,6825500.0
